candidate_id,event_id,feature_row_id,sport,league,event_date,market_type,participant_name,opponent_name,side,line,odds,implied_prob,book,capture_ts,capture_checkpoint,snapshot_id,event_snapshot_id,event_status,commence_time,home_team,away_team,is_best_price,is_opening,is_closing,feature_version,feature_generated_ts,qualifier_count,source_count,feature_market_type,feature_book,feature_line,feature_odds,result,integrity_status,settlement_ts,label_win,exclusion_reason,included_in_v1
cand:evt:nhl:nhl:e675fb92144f6351784a23641d216a85:spread:field:chicago-blackhawks:-1.5:pinnacle:2026-04-09T21:20,evt:nhl:nhl:carolina-hurricanes@chicago-blackhawks:2026-04-10T00,feat:cand:evt:nhl:nhl:e675fb92144f6351784a23641d216a85:spread:field:chicago-blackhawks:-1.5:pinnacle:2026-04-09T21:20:phase1-initial,NHL,NHL,2026-04-10,spread,,,Chicago Blackhawks,-1.5,425,0.19047619047619047,Pinnacle,2026-04-09T21:20:47.162+00:00,2026-04-09T21:20,market-snapshot:2026-04-09T21:20:47.162Z:754fefcf,market-snapshot:2026-04-09T21:20:47.162Z:754fefcf:NHL:CAR@CHI:na,scheduled,2026-04-10T00:38:00+00:00,Chicago Blackhawks,Carolina Hurricanes,false,false,false,phase1-initial,2026-04-11T17:29:20.281+00:00,0,0,spread,Pinnacle,-1.5,425,win,ok,2026-04-11T17:44:47.48+00:00,1,,true
cand:evt:nhl:nhl:e675fb92144f6351784a23641d216a85:spread:field:carolina-hurricanes:-1.5:mybookie-ag:2026-04-09T21:20,evt:nhl:nhl:carolina-hurricanes@chicago-blackhawks:2026-04-10T00,feat:cand:evt:nhl:nhl:e675fb92144f6351784a23641d216a85:spread:field:carolina-hurricanes:-1.5:mybookie-ag:2026-04-09T21:20:phase1-initial,NHL,NHL,2026-04-10,spread,,,Carolina Hurricanes,-1.5,116,0.46296296296296297,MyBookie.ag,2026-04-09T21:20:47.162+00:00,2026-04-09T21:20,market-snapshot:2026-04-09T21:20:47.162Z:754fefcf,market-snapshot:2026-04-09T21:20:47.162Z:754fefcf:NHL:CAR@CHI:na,scheduled,2026-04-10T00:38:00+00:00,Chicago Blackhawks,Carolina Hurricanes,false,false,false,phase1-initial,2026-04-11T17:29:20.281+00:00,0,0,spread,MyBookie.ag,-1.5,116,win,ok,2026-04-11T17:44:47.477+00:00,1,,true
cand:evt:mlb:mlb:miami-marlins@detroit-tigers:2026-04-10T22:total:field:under:8.5:bovada:2026-04-10T18:09,evt:mlb:mlb:miami-marlins@detroit-tigers:2026-04-10T22,feat:cand:evt:mlb:mlb:miami-marlins@detroit-tigers:2026-04-10T22:total:field:under:8.5:bovada:2026-04-10T18:09:phase1-initial,MLB,MLB,2026-04-10,total,,,Under,8.5,-105,0.5121951219512195,Bovada,2026-04-10T18:09:19.282+00:00,2026-04-10T18:09,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc:MLB:MIA@DET:na,scheduled,2026-04-10T22:40:00+00:00,Detroit Tigers,Miami Marlins,false,false,false,phase1-initial,2026-04-11T17:25:46.33+00:00,0,0,total,Bovada,8.5,-105,win,ok,2026-04-11T17:40:04.052+00:00,1,,true
cand:evt:mlb:mlb:minnesota-twins@toronto-blue-jays:2026-04-10T23:moneyline:field:toronto-blue-jays:na:bovada:2026-04-10T18:09,evt:mlb:mlb:minnesota-twins@toronto-blue-jays:2026-04-10T23,feat:cand:evt:mlb:mlb:minnesota-twins@toronto-blue-jays:2026-04-10T23:moneyline:field:toronto-blue-jays:na:bovada:2026-04-10T18:09:phase1-initial,MLB,MLB,2026-04-10,moneyline,,,Toronto Blue Jays,,-136,0.576271186440678,Bovada,2026-04-10T18:09:19.282+00:00,2026-04-10T18:09,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc:MLB:MIN@TOR:na,scheduled,2026-04-10T23:07:00+00:00,Toronto Blue Jays,Minnesota Twins,false,false,false,phase1-initial,2026-04-11T17:25:46.33+00:00,0,0,moneyline,Bovada,,-136,loss,ok,2026-04-11T17:40:04.37+00:00,0,,true
cand:evt:mlb:mlb:minnesota-twins@toronto-blue-jays:2026-04-10T23:moneyline:field:minnesota-twins:na:bovada:2026-04-10T18:09,evt:mlb:mlb:minnesota-twins@toronto-blue-jays:2026-04-10T23,feat:cand:evt:mlb:mlb:minnesota-twins@toronto-blue-jays:2026-04-10T23:moneyline:field:minnesota-twins:na:bovada:2026-04-10T18:09:phase1-initial,MLB,MLB,2026-04-10,moneyline,,,Minnesota Twins,,114,0.4672897196261682,Bovada,2026-04-10T18:09:19.282+00:00,2026-04-10T18:09,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc:MLB:MIN@TOR:na,scheduled,2026-04-10T23:07:00+00:00,Toronto Blue Jays,Minnesota Twins,false,false,false,phase1-initial,2026-04-11T17:25:46.33+00:00,0,0,moneyline,Bovada,,114,loss,ok,2026-04-11T17:40:04.375+00:00,0,,true
cand:evt:mlb:mlb:minnesota-twins@toronto-blue-jays:2026-04-10T23:total:field:over:9.0:bovada:2026-04-10T18:09,evt:mlb:mlb:minnesota-twins@toronto-blue-jays:2026-04-10T23,feat:cand:evt:mlb:mlb:minnesota-twins@toronto-blue-jays:2026-04-10T23:total:field:over:9.0:bovada:2026-04-10T18:09:phase1-initial,MLB,MLB,2026-04-10,total,,,Over,9,-110,0.5238095238095238,Bovada,2026-04-10T18:09:19.282+00:00,2026-04-10T18:09,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc:MLB:MIN@TOR:na,scheduled,2026-04-10T23:07:00+00:00,Toronto Blue Jays,Minnesota Twins,false,false,false,phase1-initial,2026-04-11T17:25:46.33+00:00,0,0,total,Bovada,9,-110,win,ok,2026-04-11T17:40:04.08+00:00,1,,true
cand:evt:mlb:mlb:minnesota-twins@toronto-blue-jays:2026-04-10T23:total:field:under:9.0:bovada:2026-04-10T18:09,evt:mlb:mlb:minnesota-twins@toronto-blue-jays:2026-04-10T23,feat:cand:evt:mlb:mlb:minnesota-twins@toronto-blue-jays:2026-04-10T23:total:field:under:9.0:bovada:2026-04-10T18:09:phase1-initial,MLB,MLB,2026-04-10,total,,,Under,9,-110,0.5238095238095238,Bovada,2026-04-10T18:09:19.282+00:00,2026-04-10T18:09,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc:MLB:MIN@TOR:na,scheduled,2026-04-10T23:07:00+00:00,Toronto Blue Jays,Minnesota Twins,false,false,false,phase1-initial,2026-04-11T17:25:46.33+00:00,0,0,total,Bovada,9,-110,loss,ok,2026-04-11T17:40:04.084+00:00,0,,true
cand:evt:mlb:mlb:new-york-yankees@tampa-bay-rays:2026-04-10T23:moneyline:field:tampa-bay-rays:na:bovada:2026-04-10T18:09,evt:mlb:mlb:new-york-yankees@tampa-bay-rays:2026-04-10T23,feat:cand:evt:mlb:mlb:new-york-yankees@tampa-bay-rays:2026-04-10T23:moneyline:field:tampa-bay-rays:na:bovada:2026-04-10T18:09:phase1-initial,MLB,MLB,2026-04-10,moneyline,,,Tampa Bay Rays,,110,0.47619047619047616,Bovada,2026-04-10T18:09:19.282+00:00,2026-04-10T18:09,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc:MLB:NYY@TB:na,scheduled,2026-04-10T23:10:00+00:00,Tampa Bay Rays,New York Yankees,false,false,false,phase1-initial,2026-04-11T17:25:46.33+00:00,0,0,moneyline,Bovada,,110,loss,ok,2026-04-11T17:40:04.381+00:00,0,,true
cand:evt:mlb:mlb:new-york-yankees@tampa-bay-rays:2026-04-10T23:moneyline:field:new-york-yankees:na:bovada:2026-04-10T18:09,evt:mlb:mlb:new-york-yankees@tampa-bay-rays:2026-04-10T23,feat:cand:evt:mlb:mlb:new-york-yankees@tampa-bay-rays:2026-04-10T23:moneyline:field:new-york-yankees:na:bovada:2026-04-10T18:09:phase1-initial,MLB,MLB,2026-04-10,moneyline,,,New York Yankees,,-132,0.5689655172413793,Bovada,2026-04-10T18:09:19.282+00:00,2026-04-10T18:09,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc:MLB:NYY@TB:na,scheduled,2026-04-10T23:10:00+00:00,Tampa Bay Rays,New York Yankees,false,false,false,phase1-initial,2026-04-11T17:25:46.33+00:00,0,0,moneyline,Bovada,,-132,loss,ok,2026-04-11T17:40:04.388+00:00,0,,true
cand:evt:mlb:mlb:pittsburgh-pirates@chicago-cubs:2026-04-10T18:moneyline:field:chicago-cubs:na:bovada:2026-04-10T18:09,evt:mlb:mlb:pittsburgh-pirates@chicago-cubs:2026-04-10T18,feat:cand:evt:mlb:mlb:pittsburgh-pirates@chicago-cubs:2026-04-10T18:moneyline:field:chicago-cubs:na:bovada:2026-04-10T18:09:phase1-initial,MLB,MLB,2026-04-10,moneyline,,,Chicago Cubs,,-154,0.6062992125984252,Bovada,2026-04-10T18:09:19.282+00:00,2026-04-10T18:09,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc:MLB:PIT@CHC:na,scheduled,2026-04-10T18:20:00+00:00,Chicago Cubs,Pittsburgh Pirates,false,false,false,phase1-initial,2026-04-11T17:25:46.33+00:00,0,0,moneyline,Bovada,,-154,win,ok,2026-04-11T17:40:04.395+00:00,1,,true
cand:evt:mlb:mlb:pittsburgh-pirates@chicago-cubs:2026-04-10T18:moneyline:field:pittsburgh-pirates:na:bovada:2026-04-10T18:09,evt:mlb:mlb:pittsburgh-pirates@chicago-cubs:2026-04-10T18,feat:cand:evt:mlb:mlb:pittsburgh-pirates@chicago-cubs:2026-04-10T18:moneyline:field:pittsburgh-pirates:na:bovada:2026-04-10T18:09:phase1-initial,MLB,MLB,2026-04-10,moneyline,,,Pittsburgh Pirates,,129,0.4366812227074236,Bovada,2026-04-10T18:09:19.282+00:00,2026-04-10T18:09,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc:MLB:PIT@CHC:na,scheduled,2026-04-10T18:20:00+00:00,Chicago Cubs,Pittsburgh Pirates,false,false,false,phase1-initial,2026-04-11T17:25:46.33+00:00,0,0,moneyline,Bovada,,129,win,ok,2026-04-11T17:40:04.407+00:00,1,,true
cand:evt:mlb:mlb:pittsburgh-pirates@chicago-cubs:2026-04-10T18:total:field:over:6.5:bovada:2026-04-10T18:09,evt:mlb:mlb:pittsburgh-pirates@chicago-cubs:2026-04-10T18,feat:cand:evt:mlb:mlb:pittsburgh-pirates@chicago-cubs:2026-04-10T18:total:field:over:6.5:bovada:2026-04-10T18:09:phase1-initial,MLB,MLB,2026-04-10,total,,,Over,6.5,-125,0.5555555555555556,Bovada,2026-04-10T18:09:19.282+00:00,2026-04-10T18:09,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc,market-snapshot:2026-04-10T18:09:19.282Z:276afcdc:MLB:PIT@CHC:na,scheduled,2026-04-10T18:20:00+00:00,Chicago Cubs,Pittsburgh Pirates,false,false,false,phase1-initial,2026-04-11T17:25:46.33+00:00,0,0,total,Bovada,6.5,-125,loss,ok,2026-04-11T17:40:03.933+00:00,0,,true
